"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"        Built 2000 to 2009","14.3%","16.2%","12.2%","18.1%","19.6%","23.0%","19.7%"
"        Built 1980 to 1999","27.5%","27.2%","28.9%","30.6%","30.3%","32.8%","27.8%"
"        Built 1960 to 1979","26.0%","23.0%","30.4%","24.7%","22.8%","19.2%","26.9%"
"        Built 1940 to 1959","15.6%","14.7%","16.7%","14.1%","11.8%","8.5%","13.9%"
"        Built 1939 or earlier","12.3%","12.9%","8.2%","6.9%","8.5%","6.4%","6.6%"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","118,860,065","1,438,135","328,265","807,412","517,101","1,217,787","513,071"
"        None","8.7%","16.6%","11.1%","6.8%","10.8%","9.9%","7.0%"
"        1 or more","91.3%","83.4%","88.9%","93.2%","89.2%","90.1%","93.0%"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","118,860,065","1,438,135","328,265","807,412","517,101","1,217,787","513,071"
"        Gas","52.7%","64.1%","48.6%","57.0%","58.9%","61.2%","59.8%"
"        Electricity","38.7%","30.2%","32.7%","34.3%","36.0%","34.8%","36.4%"
"        All other fuels","7.4%","3.3%","4.0%","3.1%","2.8%","2.8%","2.0%"
"        No fuel used","1.1%","2.4%","14.6%","5.6%","2.3%","1.2%","1.8%"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","118,860,065","1,438,135","328,265","807,412","517,101","1,217,787","513,071"
"        No telephone service available","3.0%","4.2%","4.1%","2.9%","3.7%","3.4%","3.5%"
"        1.01 or more occupants per room","3.4%","6.0%","3.1%","9.2%","5.6%","7.4%","8.1%"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","47,047,616","532,411","120,147","379,992","183,650","504,805","213,278"
"        Less than 30 percent","71.7%","61.9%","66.9%","68.8%","57.1%","72.9%","59.0%"
"        30 percent or more","28.3%","38.1%","33.1%","31.2%","42.9%","27.1%","41.0%"
"OWNER CHARACTERISTICS","","","","","","",""
"    Owner-occupied housing units","75,022,569","895,981","211,418","490,795","254,112","665,295","337,273"
"        Median value (dollars)","205,000","529,700","491,600","359,900","428,600","426,800","297,400"
"        Median selected monthly owner costs with a mortgage (dollars)","1,486","2,506","2,083","2,113","2,348","2,588","1,877"
"        Median selected monthly owner costs without a mortgage (dollars)","466","701","508","561","643","819","550"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","40,657,272","460,595","107,019","303,817","237,932","525,052","161,016"
"        Less than 30 percent","50.3%","46.2%","49.0%","61.6%","44.0%","72.0%","45.8%"
"        30 percent or more","49.7%","53.8%","51.0%","38.4%","56.0%","28.0%","54.2%"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","41,631,261","511,364","110,782","307,377","254,882","540,767","165,345"
"        Median gross rent (dollars)","981","1,243","1,519","1,347","1,407","1,381","1,140"
"COMPUTERS AND INTERNET USE","","","","","","",""
"    Total households","118,860,065","1,438,135","328,265","807,412","517,101","1,217,787","513,071"
"        With a computer","89.3%","94.2%","89.7%","95.6%","94.1%","98.2%","94.0%"
"        With a broadband Internet subscription","81.4%","89.1%","84.6%","91.0%","87.7%","94.8%","87.6%"
