"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"        Built 2000 to 2009","14.4%","16.5%","11.7%","18.8%","19.7%","23.9%","21.3%"
"        Built 1980 to 1999","27.8%","27.6%","28.8%","30.1%","31.4%","33.8%","28.3%"
"        Built 1960 to 1979","26.3%","23.6%","32.3%","25.8%","24.2%","19.3%","25.7%"
"        Built 1940 to 1959","15.7%","15.0%","16.8%","14.0%","11.2%","8.7%","13.8%"
"        Built 1939 or earlier","12.6%","12.8%","7.8%","7.4%","8.4%","6.6%","6.8%"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","118,208,250","1,403,201","315,326","798,887","511,033","1,176,388","495,525"
"        None","8.9%","16.1%","10.8%","6.7%","11.3%","9.9%","6.9%"
"        1 or more","91.1%","83.9%","89.2%","93.3%","88.7%","90.1%","93.1%"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","118,208,250","1,403,201","315,326","798,887","511,033","1,176,388","495,525"
"        Gas","52.9%","63.8%","49.2%","57.6%","58.4%","62.5%","60.9%"
"        Electricity","38.2%","29.6%","33.6%","34.0%","36.4%","33.0%","35.0%"
"        All other fuels","7.8%","3.8%","3.6%","2.8%","3.0%","3.2%","1.9%"
"        No fuel used","1.2%","2.8%","13.6%","5.7%","2.2%","1.3%","2.2%"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","118,208,250","1,403,201","315,326","798,887","511,033","1,176,388","495,525"
"        No telephone service available","2.5%","3.3%","2.9%","2.1%","3.0%","2.6%","2.1%"
"        1.01 or more occupants per room","3.4%","5.8%","2.8%","9.7%","5.5%","7.7%","7.8%"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","46,893,431","528,294","117,803","372,635","178,470","493,602","206,436"
"        Less than 30 percent","70.4%","61.1%","67.3%","67.3%","57.0%","71.5%","59.0%"
"        30 percent or more","29.6%","38.9%","32.7%","32.7%","43.0%","28.5%","41.0%"
"OWNER CHARACTERISTICS","","","","","","",""
"    Owner-occupied housing units","74,506,512","870,851","208,800","474,231","243,676","641,765","327,413"
"        Median value (dollars)","194,500","499,700","468,000","351,000","424,400","404,500","282,500"
"        Median selected monthly owner costs with a mortgage (dollars)","1,477","2,429","2,049","2,111","2,317","2,505","1,874"
"        Median selected monthly owner costs without a mortgage (dollars)","468","679","503","537","645","794","549"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","40,414,066","455,159","95,360","311,130","239,998","510,102","153,361"
"        Less than 30 percent","49.4%","47.2%","49.2%","60.2%","44.7%","72.3%","45.4%"
"        30 percent or more","50.6%","52.8%","50.8%","39.8%","55.3%","27.7%","54.6%"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","41,410,172","500,626","99,815","314,843","257,291","523,891","157,373"
"        Median gross rent (dollars)","959","1,175","1,457","1,304","1,374","1,339","1,067"
"COMPUTERS AND INTERNET USE","","","","","","",""
"    Total households","118,208,250","1,403,201","315,326","798,887","511,033","1,176,388","495,525"
"        With a computer","86.8%","93.3%","88.5%","94.0%","93.1%","97.7%","92.1%"
"        With a broadband Internet subscription","76.7%","87.1%","82.4%","89.0%","86.7%","94.7%","85.1%"
