"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"    Built 1940 to 1959","16.4%","15.5%","16.8%","14.2%","11.6%","9.4%","14.0%"
"    Built 1939 or earlier","13.1%","14.2%","8.6%","7.5%","8.3%","7.3%","7.1%"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","115,969,540","1,221,206","335,113","745,666","506,211","977,213","464,437"
"    None","9.2%","17.4%","11.0%","7.0%","11.6%","9.9%","6.9%"
"    1 or more","90.8%","82.6%","89.0%","93.0%","88.4%","90.1%","93.1%"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","115,969,540","1,221,206","335,113","745,666","506,211","977,213","464,437"
"    Gas","53.5%","65.2%","47.7%","58.5%","59.7%","62.2%","60.5%"
"    Electricity","36.9%","28.8%","34.4%","34.2%","36.0%","33.4%","35.9%"
"    All other fuels","8.6%","4.2%","4.2%","2.7%","2.9%","3.8%","2.4%"
"    No fuel used","0.9%","1.8%","13.6%","4.6%","1.4%","0.6%","1.2%"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","115,969,540","1,221,206","335,113","745,666","506,211","977,213","464,437"
"    No telephone service available","2.6%","2.6%","2.3%","1.8%","2.6%","1.9%","2.4%"
"    1.01 or more occupants per room","3.3%","5.7%","1.7%","9.1%","4.6%","5.8%","8.4%"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","48,475,878","504,910","132,169","374,381","177,338","431,280","207,777"
"    Less than 30 percent","66.1%","57.2%","62.2%","60.8%","47.7%","66.1%","52.2%"
"    30 percent or more","33.9%","42.8%","37.8%","39.2%","52.3%","33.9%","47.8%"
"OWNER CHARACTERISTICS","","","","","","",""
"    Owner-occupied housing units","74,119,256","760,213","218,877","444,290","232,238","529,387","297,876"
"    Median value (dollars)","171,900","419,100","396,700","291,100","364,600","349,200","235,900"
"    Median selected monthly owner costs with a mortgage (dollars)","1,460","2,341","2,025","2,182","2,352","2,429","1,878"
"    Median selected monthly owner costs without a mortgage (dollars)","434","630","478","505","616","749","510"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","38,681,971","400,142","104,247","288,121","240,316","429,987","153,876"
"    Less than 30 percent","48.0%","46.8%","53.5%","59.8%","42.3%","72.4%","41.9%"
"    30 percent or more","52.0%","53.2%","46.5%","40.2%","57.7%","27.6%","58.1%"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","39,629,329","436,467","109,653","293,210","264,624","438,290","158,207"
"    Median gross rent (dollars)","884","1,072","1,253","1,198","1,232","1,168","993"
