"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"        Built 1960 to 1979","26.7%","23.6%","32.0%","26.2%","25.0%","20.5%","27.3%"
"        Built 1940 to 1959","16.0%","15.4%","17.5%","14.1%","11.4%","8.2%","14.0%"
"        Built 1939 or earlier","12.7%","13.4%","8.1%","6.8%","8.2%","6.4%","6.2%"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","117,259,427","1,343,171","325,918","780,094","518,743","1,112,680","493,660"
"        None","9.1%","16.7%","12.1%","6.5%","11.1%","9.8%","7.3%"
"        1 or more","90.9%","83.3%","87.9%","93.5%","88.9%","90.2%","92.7%"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","117,259,427","1,343,171","325,918","780,094","518,743","1,112,680","493,660"
"        Gas","53.3%","64.8%","48.4%","58.4%","60.6%","62.6%","61.1%"
"        Electricity","37.4%","28.2%","32.7%","33.9%","34.3%","33.0%","35.0%"
"        All other fuels","8.1%","4.4%","4.2%","2.8%","3.0%","3.5%","1.8%"
"        No fuel used","1.2%","2.7%","14.7%","4.9%","2.1%","0.9%","2.2%"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","117,259,427","1,343,171","325,918","780,094","518,743","1,112,680","493,660"
"        No telephone service available","2.4%","3.0%","2.8%","1.9%","2.6%","2.3%","2.5%"
"        1.01 or more occupants per room","3.4%","5.1%","2.5%","9.0%","4.4%","6.5%","7.1%"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","46,931,487","516,441","117,863","378,930","181,518","468,992","207,694"
"        Less than 30 percent","69.2%","61.4%","65.8%","66.6%","53.2%","69.4%","57.1%"
"        30 percent or more","30.8%","38.6%","34.2%","33.4%","46.8%","30.6%","42.9%"
"OWNER CHARACTERISTICS","","","","","","",""
"    Owner-occupied housing units","73,991,995","838,424","209,656","471,382","245,202","609,638","316,317"
"        Median value (dollars)","181,200","470,900","429,600","324,900","393,600","382,800","251,100"
"        Median selected monthly owner costs with a mortgage (dollars)","1,454","2,382","2,059","2,088","2,303","2,449","1,858"
"        Median selected monthly owner costs without a mortgage (dollars)","459","664","479","532","597","796","531"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","40,002,893","427,903","103,942","294,023","243,787","479,587","163,038"
"        Less than 30 percent","48.2%","46.1%","51.3%","60.6%","44.0%","71.3%","41.7%"
"        30 percent or more","51.8%","53.9%","48.7%","39.4%","56.0%","28.7%","58.3%"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","40,975,355","473,570","109,613","298,266","264,877","490,019","167,101"
"        Median gross rent (dollars)","934","1,130","1,332","1,263","1,313","1,289","1,071"
"COMPUTERS AND INTERNET USE","","","","","","",""
"    Total households","117,259,427","1,343,171","325,918","780,094","518,743","1,112,680","493,660"
"        With a computer","85.1%","92.2%","86.6%","93.7%","91.3%","97.5%","91.3%"
"        With a broadband Internet subscription","75.1%","86.3%","79.4%","88.2%","84.6%","93.8%","83.1%"
