"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"        Built 2010 to 2013","2.7%","3.8%","2.7%","3.1%","4.1%","5.9%","3.0%"
"        Built 2000 to 2009","13.4%","14.9%","11.3%","17.3%","16.7%","20.5%","20.3%"
"        Built 1980 to 1999","27.1%","25.1%","26.1%","29.9%","27.7%","29.7%","26.6%"
"        Built 1960 to 1979","25.4%","21.6%","31.3%","24.2%","24.6%","18.4%","25.4%"
"        Built 1940 to 1959","14.9%","14.7%","17.2%","13.5%","11.0%","8.0%","12.5%"
"        Built 1939 or earlier","11.9%","12.3%","6.6%","6.8%","7.4%","5.7%","6.0%"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","122,802,852","1,590,686","316,284","869,199","546,377","1,396,268","554,147"
"        None","8.6%","17.3%","10.4%","6.8%","11.5%","9.8%","7.2%"
"        1 or more","91.4%","82.7%","89.6%","93.2%","88.5%","90.2%","92.8%"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","122,802,852","1,590,686","316,284","869,199","546,377","1,396,268","554,147"
"        Gas","52.6%","64.1%","47.4%","57.3%","59.1%","61.9%","59.5%"
"        Electricity","39.5%","30.8%","35.2%","34.7%","35.9%","34.2%","37.5%"
"        All other fuels","6.8%","2.9%","3.4%","3.0%","2.8%","2.9%","1.6%"
"        No fuel used","1.1%","2.1%","14.0%","5.0%","2.2%","1.0%","1.5%"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","122,802,852","1,590,686","316,284","869,199","546,377","1,396,268","554,147"
"        No telephone service available","1.0%","1.1%","1.4%","0.7%","1.5%","0.6%","1.2%"
"        1.01 or more occupants per room","3.3%","5.2%","2.2%","8.7%","5.3%","7.1%","7.2%"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","48,403,285","579,966","108,696","414,060","189,824","597,538","221,420"
"        Less than 30 percent","73.4%","62.4%","67.2%","69.7%","63.1%","75.0%","59.5%"
"        30 percent or more","26.6%","37.6%","32.8%","30.3%","36.9%","25.0%","40.5%"
"OWNER CHARACTERISTICS","","","","","","",""
"    Owner-occupied housing units","78,724,862","1,011,313","207,405","549,984","277,353","812,144","377,083"
"        Median value (dollars)","240,500","609,000","591,200","424,500","476,900","484,700","353,400"
"        Median selected monthly owner costs with a mortgage (dollars)","1,609","2,787","2,273","2,334","2,572","2,892","2,080"
"        Median selected monthly owner costs without a mortgage (dollars)","505","784","564","615","736","880","620"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","41,048,717","496,810","99,735","304,373","245,643","560,408","163,082"
"        Less than 30 percent","51.6%","49.7%","54.2%","62.2%","48.5%","75.0%","45.6%"
"        30 percent or more","48.4%","50.3%","45.8%","37.8%","51.5%","25.0%","54.4%"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","41,946,055","544,214","103,440","308,875","259,727","571,704","167,576"
"        Median gross rent (dollars)","1,097","1,467","1,658","1,495","1,573","1,519","1,330"
"COMPUTERS AND INTERNET USE","","","","","","",""
"    Total households","122,802,852","1,590,686","316,284","869,199","546,377","1,396,268","554,147"
"        With a computer","92.9%","96.1%","92.1%","97.3%","96.0%","98.9%","96.6%"
"        With a broadband Internet subscription","86.4%","91.9%","87.8%","93.5%","90.0%","96.7%","92.1%"
