"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"    Built 1940 to 1959","16.6%","15.7%","17.6%","14.4%","11.8%","10.2%","13.2%"
"    Built 1939 or earlier","13.1%","13.0%","8.4%","7.4%","7.2%","6.9%","6.6%"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","114,991,725","1,178,720","325,145","718,068","496,690","913,213","457,250"
"    None","9.3%","17.2%","11.1%","7.3%","11.6%","10.4%","8.0%"
"    1 or more","90.7%","82.8%","88.9%","92.7%","88.4%","89.6%","92.0%"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","114,991,725","1,178,720","325,145","718,068","496,690","913,213","457,250"
"    Gas","53.9%","65.1%","49.0%","59.4%","60.1%","63.4%","62.0%"
"    Electricity","36.3%","28.2%","33.7%","32.9%","34.7%","32.2%","34.8%"
"    All other fuels","8.9%","4.6%","3.4%","2.7%","3.4%","4.1%","2.2%"
"    No fuel used","0.9%","2.1%","13.8%","4.9%","1.8%","0.4%","1.0%"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","114,991,725","1,178,720","325,145","718,068","496,690","913,213","457,250"
"    No telephone service available","2.6%","2.6%","2.5%","1.9%","2.7%","2.2%","2.0%"
"    1.01 or more occupants per room","3.3%","5.6%","2.5%","9.2%","5.1%","6.4%","8.6%"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","49,049,732","478,327","125,435","371,657","181,414","413,936","209,409"
"    Less than 30 percent","63.1%","54.2%","57.1%","56.8%","42.1%","63.1%","47.9%"
"    30 percent or more","36.9%","45.8%","42.9%","43.2%","57.9%","36.9%","52.1%"
"OWNER CHARACTERISTICS","","","","","","",""
"    Owner-occupied housing units","74,264,435","725,749","208,815","435,785","230,096","503,468","293,467"
"    Median value (dollars)","173,600","426,700","410,200","295,700","366,200","354,900","234,300"
"    Median selected monthly owner costs with a mortgage (dollars)","1,486","2,415","2,020","2,199","2,351","2,477","1,898"
"    Median selected monthly owner costs without a mortgage (dollars)","442","618","455","515","615","772","531"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","37,583,736","396,292","105,063","269,715","230,979","393,720","150,068"
"    Less than 30 percent","46.6%","47.6%","54.3%","61.8%","41.7%","70.3%","42.5%"
"    30 percent or more","53.4%","52.4%","45.7%","38.2%","58.3%","29.7%","57.5%"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","38,515,453","428,913","109,732","273,875","259,003","402,741","156,316"
"    Median gross rent (dollars)","871","1,009","1,242","1,149","1,196","1,157","990"
