"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"    Occupied housing units","121,520,180","1,565,802","333,910","832,841","545,601","1,365,414","538,757"
"        None","8.5%","16.6%","10.9%","7%","11.4%","9.9%","7.1%"
"        1 or more","91.5%","83.4%","89.1%","93%","88.6%","90.1%","92.9%"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","121,520,180","1,565,802","333,910","832,841","545,601","1,365,414","538,757"
"        Gas","52.6%","64.1%","48.7%","57.8%","56.9%","61.6%","59.4%"
"        Electricity","39.2%","30.1%","34.7%","34.1%","38.1%","34.5%","36.9%"
"        All other fuels","7.1%","3.3%","3.3%","2.9%","2.7%","2.8%","1.8%"
"        No fuel used","1.1%","2.4%","13.3%","5.2%","2.2%","1%","1.8%"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","121,520,180","1,565,802","333,910","832,841","545,601","1,365,414","538,757"
"        No telephone service available","1.5%","1.5%","1.7%","1.1%","1.2%","0.8%","1.7%"
"        1.01 or more occupants per room","3.4%","5.5%","3.3%","8.7%","5.2%","7%","7.1%"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","47,895,325","582,547","115,178","385,639","194,436","570,109","212,845"
"        Less than 30 percent","72.3%","62.2%","65.3%","68.2%","59.3%","73.1%","56.7%"
"        30 percent or more","27.7%","37.8%","34.7%","31.8%","40.7%","26.9%","43.3%"
"OWNER CHARACTERISTICS","","","","","","",""
"    Owner-occupied housing units","77,708,394","998,279","219,144","517,323","281,772","764,654","355,250"
"        Median value (dollars)","229,700","590,800","545,300","398,500","458,500","463,900","336,100"
"        Median selected monthly owner costs with a mortgage (dollars)","1,566","2,705","2,181","2,218","2,429","2,771","2,030"
"        Median selected monthly owner costs without a mortgage (dollars)","498","771","563","580","703","881","615"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","40,717,233","486,063","104,375","303,619","239,898","578,235","166,914"
"        Less than 30 percent","50.3%","47.1%","51.8%","59.9%","46.9%","73.1%","45.3%"
"        30 percent or more","49.7%","52.9%","48.2%","40.1%","53.1%","26.9%","54.7%"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","41,666,884","533,165","107,659","307,670","254,629","589,812","172,668"
"        Median gross rent (dollars)","1,058","1,398","1,657","1,429","1,523","1,484","1,245"
"COMPUTERS AND INTERNET USE","","","","","","",""
"    Total households","121,520,180","1,565,802","333,910","832,841","545,601","1,365,414","538,757"
"        With a computer","91.8%","96%","91.7%","96.5%","95.2%","98.9%","95.9%"
"        With a broadband Internet subscription","85.1%","91.4%","87.1%","92.4%","89.9%","96.2%","90.4%"
