"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone!!Estimate","United States!!Japanese alone!!Estimate","United States!!Filipino alone!!Estimate","United States!!Korean alone!!Estimate","United States!!Asian Indian alone!!Estimate","United States!!Vietnamese alone!!Estimate"
"    Built 1939 or earlier","13.2%","13.8%","8.5%","7.2%","8.7%","7.0%","6.8%"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","114,567,419","1,150,817","334,726","713,898","507,203","876,534","445,377"
"    None","9.1%","16.7%","10.7%","7.2%","11.2%","10.0%","7.6%"
"    1 or more","90.9%","83.3%","89.3%","92.8%","88.8%","90.0%","92.4%"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","114,567,419","1,150,817","334,726","713,898","507,203","876,534","445,377"
"    Gas","54.5%","65.1%","49.8%","60.4%","61.2%","64.1%","62.4%"
"    Electricity","35.4%","27.7%","34.1%","31.0%","33.5%","31.0%","34.0%"
"    All other fuels","9.1%","5.0%","3.1%","3.2%","3.5%","4.4%","2.2%"
"    No fuel used","0.9%","2.2%","13.0%","5.4%","1.8%","0.5%","1.4%"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","114,567,419","1,150,817","334,726","713,898","507,203","876,534","445,377"
"    No telephone service available","2.5%","2.6%","1.7%","1.8%","2.5%","2.1%","2.5%"
"    1.01 or more occupants per room","3.4%","6.2%","2.1%","8.9%","4.3%","5.8%","9.2%"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","50,082,779","486,975","127,952","388,108","194,122","410,633","211,886"
"    Less than 30 percent","62.0%","53.8%","58.4%","55.6%","38.0%","59.4%","46.7%"
"    30 percent or more","38.0%","46.2%","41.6%","44.4%","62.0%","40.6%","53.3%"
"OWNER CHARACTERISTICS","","","","","","",""
"    Owner-occupied housing units","74,873,372","714,208","216,491","448,425","242,777","491,442","283,159"
"    Median value (dollars)","179,900","429,000","416,100","318,000","378,400","353,300","241,700"
"    Median selected monthly owner costs with a mortgage (dollars)","1,496","2,356","2,015","2,276","2,424","2,444","1,885"
"    Median selected monthly owner costs without a mortgage (dollars)","431","603","446","507","596","749","502"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","36,656,468","387,193","107,156","251,798","232,673","366,663","150,455"
"    Less than 30 percent","47.0%","49.5%","50.9%","61.0%","42.5%","71.3%","41.0%"
"    30 percent or more","53.0%","50.5%","49.1%","39.0%","57.5%","28.7%","59.0%"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","37,521,157","414,675","111,741","255,344","257,730","377,121","154,839"
"    Median gross rent (dollars)","855","1,001","1,206","1,147","1,194","1,121","978"
