"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"        Built 2010 to 2013","2.8%","3.8%","3.0%","3.4%","4.7%","6.3%","3.5%"
"        Built 2000 to 2009","14.1%","15.6%","12.0%","18.5%","18.6%","22.5%","20.1%"
"        Built 1980 to 1999","27.3%","26.8%","27.7%","29.0%","27.6%","30.9%","28.3%"
"        Built 1960 to 1979","25.8%","22.8%","31.1%","25.7%","25.7%","19.1%","25.7%"
"        Built 1940 to 1959","15.3%","14.2%","15.8%","14.0%","11.1%","8.5%","12.9%"
"        Built 1939 or earlier","12.3%","13.0%","7.9%","6.4%","8.2%","5.9%","6.4%"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","120,062,818","1,504,852","330,213","824,910","526,775","1,309,793","524,097"
"        None","8.6%","16.7%","10.3%","6.6%","11.2%","8.9%","6.9%"
"        1 or more","91.4%","83.3%","89.7%","93.4%","88.8%","91.1%","93.1%"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","120,062,818","1,504,852","330,213","824,910","526,775","1,309,793","524,097"
"        Gas","52.7%","63.6%","47.9%","57.6%","60.9%","62.0%","61.0%"
"        Electricity","39.0%","31.3%","33.7%","34.9%","34.1%","34.2%","35.5%"
"        All other fuels","7.2%","3.1%","3.8%","2.4%","2.6%","2.9%","1.8%"
"        No fuel used","1.1%","2.0%","14.6%","5.1%","2.4%","0.9%","1.6%"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","120,062,818","1,504,852","330,213","824,910","526,775","1,309,793","524,097"
"        No telephone service available","1.5%","1.5%","1.8%","0.9%","1.2%","1.1%","1.8%"
"        1.01 or more occupants per room","3.4%","5.8%","2.7%","9.3%","5.9%","7.3%","7.5%"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","47,913,975","569,098","124,031","395,594","190,973","560,319","207,321"
"        Less than 30 percent","72.5%","61.4%","65.9%","70.0%","58.2%","74.2%","59.0%"
"        30 percent or more","27.5%","38.6%","34.1%","30.0%","41.8%","25.8%","41.0%"
"OWNER CHARACTERISTICS","","","","","","",""
"    Owner-occupied housing units","76,684,018","952,617","220,874","511,572","270,906","738,733","345,659"
"        Median value (dollars)","217,600","552,600","535,800","383,800","450,300","445,700","308,200"
"        Median selected monthly owner costs with a mortgage (dollars)","1,513","2,566","2,115","2,165","2,422","2,651","1,939"
"        Median selected monthly owner costs without a mortgage (dollars)","475","724","535","566","664","839","570"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","40,237,512","478,437","100,028","299,357","233,361","545,277","163,220"
"        Less than 30 percent","50.5%","46.8%","52.4%","60.8%","43.0%","72.5%","44.1%"
"        30 percent or more","49.5%","53.2%","47.6%","39.2%","57.0%","27.5%","55.9%"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","41,233,966","522,821","103,255","303,104","247,539","560,111","168,599"
"        Median gross rent (dollars)","1,012","1,329","1,568","1,370","1,439","1,406","1,150"
"COMPUTERS AND INTERNET USE","","","","","","",""
"    Total households","120,062,818","1,504,852","330,213","824,910","526,775","1,309,793","524,097"
"        With a computer","90.8%","94.8%","90.5%","96.0%","95.1%","98.7%","94.2%"
"        With a broadband Internet subscription","83.5%","90.2%","85.3%","91.8%","88.9%","95.7%","88.3%"
