"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"        Built 1960 to 1979","26.7%","23.8%","32.4%","25.6%","25.4%","20.3%","26.6%"
"        Built 1940 to 1959","16.2%","16.1%","17.6%","14.3%","11.5%","9.4%","12.8%"
"        Built 1939 or earlier","12.7%","13.1%","7.6%","7.0%","7.6%","6.4%","7.1%"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","116,291,033","1,283,600","339,603","746,253","507,530","1,025,496","472,506"
"        None","9.1%","16.8%","10.5%","6.8%","11.8%","9.2%","7.5%"
"        1 or more","90.9%","83.2%","89.5%","93.2%","88.2%","90.8%","92.5%"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","116,291,033","1,283,600","339,603","746,253","507,530","1,025,496","472,506"
"        Gas","53.2%","64.4%","48.3%","58.2%","60.0%","62.4%","60.4%"
"        Electricity","37.4%","28.5%","33.2%","34.0%","34.9%","33.2%","36.1%"
"        All other fuels","8.3%","4.6%","3.5%","2.8%","3.5%","3.5%","1.6%"
"        No fuel used","1.1%","2.5%","15.0%","5.1%","1.6%","1.0%","2.0%"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","116,291,033","1,283,600","339,603","746,253","507,530","1,025,496","472,506"
"        No telephone service available","2.3%","2.5%","2.8%","1.7%","2.2%","1.9%","2.6%"
"        1.01 or more occupants per room","3.3%","5.2%","2.1%","8.9%","4.5%","6.2%","8.5%"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","47,232,893","511,174","127,754","361,731","180,884","429,926","200,437"
"        Less than 30 percent","68.3%","59.6%","64.2%","66.0%","52.6%","68.9%","56.0%"
"        30 percent or more","31.7%","40.4%","35.8%","34.0%","47.4%","31.1%","44.0%"
"OWNER CHARACTERISTICS","","","","","","",""
"    Owner-occupied housing units","73,843,861","807,022","220,870","449,224","239,175","555,014","306,154"
"        Median value (dollars)","173,900","430,500","414,300","300,400","375,800","370,700","249,600"
"        Median selected monthly owner costs with a mortgage (dollars)","1,436","2,324","1,997","2,085","2,281","2,429","1,878"
"        Median selected monthly owner costs without a mortgage (dollars)","439","630","467","518","613","769","510"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","39,242,039","414,498","108,607","281,965","240,510","449,126","153,379"
"        Less than 30 percent","48.5%","46.8%","53.4%","60.9%","43.7%","72.6%","45.1%"
"        30 percent or more","51.5%","53.2%","46.6%","39.1%","56.3%","27.4%","54.9%"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","40,205,415","452,505","112,881","287,069","260,611","459,201","157,629"
"        Median gross rent (dollars)","905","1,074","1,261","1,218","1,262","1,230","1,024"
"COMPUTERS AND INTERNET USE","","","","","","",""
"    Total households","116,291,033","1,283,600","339,603","746,253","507,530","1,025,496","472,506"
"        With a computer","83.8%","91.6%","86.2%","93.2%","90.9%","97.3%","90.1%"
"        With a broadband Internet subscription","73.4%","85.2%","79.4%","87.0%","83.9%","93.1%","81.8%"
